feature,mean,std,sharpe,positive_ratio,min,recent,weighted_mean,weighted_mean_abs,stability_score
P11,0.07147456165031149,0.03554470280591521,2.0108352553186752,0.9,0.0,0.0924271114530871,0.08407494503905591,0.08407494503905591,0.6250397402246661
E2,0.07927096189153832,0.04252157425641311,1.8642523150953072,0.9,0.0,0.08643866848550902,0.08793804848465432,0.08793804848465432,0.5966695492614741
P8,0.06567156468046079,0.03513502419997206,1.8691191335317672,0.9,0.0,0.07068757232567228,0.07814018757714505,0.07814018757714505,0.5921486589697788
P2,0.07502142083097568,0.04274734727323105,1.754995527593821,0.9,0.0,0.09839380948468902,0.08847727893113605,0.08847727893113605,0.5762293980396876
P10,0.0715745829907749,0.04053625482953858,1.765692603690976,0.9,0.0,0.03030474017299781,0.08207096421716834,0.08207096421716834,0.5689973804423624
E3,0.06335368706215849,0.03924987826680788,1.614111271642377,0.85,-0.002976167842265855,0.08539669342475162,0.07634700975763276,0.07653838848375007,0.5322748958486773
M11,0.07186598231488711,0.045296308290122635,1.5865744728873092,0.8,-0.014492622688225728,0.08071335004153764,0.07733910365026878,0.07870188532568195,0.5183162459807111
P5,0.04297382063648646,0.03054743666937702,1.4067892842764673,0.8,-0.0016341158605033441,0.043070769986853844,0.046620252047743935,0.04686435835973557,0.4645740887839234
M4,0.0608268979579786,0.04668282594322342,1.3029820645848822,0.85,-0.01730159801340834,-0.01730159801340834,0.05049032111095246,0.05442956022699487,0.45582855661045607
V13,0.06199263970473066,0.0480227219302172,1.2909019793962038,0.8,-0.023154694584252473,0.0749856357956481,0.06597189716227146,0.0674608306458736,0.4549787611755803
V7,0.06014171509733159,0.048351566105904756,1.2438418753010827,0.8,-0.010695089609920038,0.04827885293294237,0.06346812722426724,0.0641558614965718,0.44032811391313154
S2,0.04545609715626286,0.03681024716558063,1.2348758377805222,0.85,-0.012777149364390204,-0.012777149364390204,0.04151990399774826,0.04442901369551815,0.4373022029071898
M9,0.04747368146987406,0.04391264723749287,1.0810933442975699,0.75,-0.025870009240609733,0.09479246986981724,0.04937765056602265,0.05263971126205367,0.3993408012753782
S5,0.043852412322724854,0.04999916310402498,0.877062751247674,0.7,-0.016372203784197313,0.0489443565163355,0.054475167964611625,0.05622884491064791,0.3444357442438472
M7,0.023267623408701026,0.02820990419071833,0.8248030551031089,0.75,-0.03631965397612505,0.03246070133587202,0.027583931500985016,0.03509256719115144,0.33587567342828206
S8,0.03238865069943445,0.038167191821378156,0.8485990367072959,0.6,-0.021379698487826098,0.03921683901778243,0.042758105516396264,0.04521539499959317,0.3138656190918573
E19,0.04572570597896951,0.058920550554896575,0.7760568729886174,0.65,-0.027572295956379653,-0.027572295956379653,0.04526386818109238,0.056533006422587025,0.31333903635803423
M12,0.028878551600119172,0.03758298089609462,0.7683941834208848,0.65,-0.028817894684569044,0.03911372393418194,0.040179903241062145,0.046305686569496546,0.3089942731738507
M8,0.020072207424653467,0.0278243041046694,0.7213909154829805,0.65,-0.025017005696549053,0.07150033854869063,0.024583974281922886,0.02762904788808532,0.29498153667635424
S6,0.029449996247594805,0.04589006735891499,0.6417508520907648,0.6,-0.05313190618559275,0.035120905869515176,0.03633897654908039,0.044416941325679735,0.27494222815393565
V9,0.03213072849306053,0.043645117958802486,0.7361813333068783,0.45,-0.002444036604621405,0.05198804439805875,0.04603864529863025,0.046539459161479946,0.26129525842623563
V3,0.014299145086392623,0.027748541412480364,0.5153114075699587,0.7,-0.04841714956782266,0.011254995537935332,0.016453576152073268,0.0274790272106306,0.2600211069088198
D4,0.013578249157602033,0.029637773414515237,0.4581398334583963,0.65,-0.042467697258607856,-0.01926067400146466,0.007059985310254729,0.021704928833533355,0.23648277535109988
E17,-0.025836298503354393,0.034741217621766254,-0.7436783404616163,0.25,-0.08518902467105127,-0.08518902467105127,-0.03633677285881721,0.041427315738190564,0.23234439932180978
M17,0.014316777126818498,0.02691014532152276,0.5320213486604416,0.55,-0.02577654153391012,-0.02577654153391012,0.01080899266602812,0.022842240397152266,0.23069647419773126
M1,0.03593373963308621,0.05489299166454539,0.654614223005686,0.35,-0.004720420567190211,0.0639257312277156,0.05410738842900846,0.05507466201814355,0.2298173245878852
E16,-0.02354443055827689,0.03376636801160382,-0.6972743878595994,0.3,-0.08476514413286995,-0.051608744891362905,-0.031411835550416184,0.03826788795554377,0.22839942165656069
D8,0.017724293040837058,0.045845523048962,0.386608942291235,0.6,-0.067335347259982,-0.067335347259982,0.009306844936213874,0.04023499008688817,0.22688285394499863
P7,0.01528191592711493,0.0358820231867202,0.4258932554794779,0.6,-0.06742223801911768,0.012728801379321105,0.02059692992427122,0.03117113278842958,0.2256622081511113
S7,0.010816341309464664,0.024925977976485755,0.43393831849988834,0.55,-0.041274274032872336,0.022602325238085662,0.015846373658074522,0.02265624105806449,0.21223782005029926
V5,0.01183247313645381,0.038134357464569786,0.3102837131741395,0.6,-0.09356792476183118,0.06302830095094253,0.021121062528169247,0.031195344590367883,0.21019450304225243
P3,0.013828859158711895,0.05338361463933174,0.2590468379047295,0.6,-0.09061942498164131,0.0527164982267607,0.024950626885733927,0.0515332305715956,0.20675625213042434
D6,0.009849533323803856,0.03431999432144839,0.28699102807654253,0.65,-0.05908171607457639,-0.014188857918264765,0.012873904017527507,0.027787852778624313,0.20584040412604235
P1,0.0162959196549175,0.041949391833113824,0.3884660792005359,0.5,-0.04085485131816514,0.04897754708790781,0.027691836759582072,0.03881811705732172,0.20220370250364317
P12,0.016316636932861627,0.04819265084671939,0.33857099081451414,0.5,-0.05954307873050953,0.05641430390373826,0.01839975030047281,0.049627858701731996,0.19916107990702042
V10,0.025067975284207393,0.04454692493607213,0.5627317641535077,0.3,-0.009298949513028879,0.057725233527198425,0.039507494757609236,0.0414129665567052,0.19581395775740634
E20,0.010493838588160966,0.033375106418086754,0.3144210332244447,0.55,-0.0595288809896367,0.013296577045577945,0.019299548661087688,0.031157082117838155,0.19262958529554566
D5,0.0070712251499520555,0.035770660015882826,0.19768221134276498,0.65,-0.062457648797442054,-0.029607094334155464,-0.0019247148172462176,0.02605196570139425,0.18916370286227047
S12,0.014155549007902932,0.03936246885926932,0.35962036482795073,0.45,-0.052896512595489366,-0.052896512595489366,0.010467292013877135,0.036157316533776726,0.18696630209819876
D9,0.003504312994639841,0.03680018793602592,0.09522538440504578,0.7,-0.10736973081097798,-0.029546462773420067,0.0061552905287675505,0.029736369333679027,0.18463124397292058
M13,0.012753504047008677,0.02582619847395571,0.4938202237417031,0.35,-0.011528796638780727,0.013674453206659295,0.02002142783522256,0.02238382337699097,0.180237899083681
E8,-0.012512239406592365,0.02730577359833633,-0.4582267108919263,0.35,-0.0542293212062415,0.013342542636350627,-0.015551441595590078,0.028495435577295888,0.1798007027935628
M18,0.004614037234647596,0.039316392553105595,0.11735654675972215,0.65,-0.09158307045931623,0.027525248024996157,-0.004429622041883892,0.0312867582231023,0.1778968444896166
D7,0.010877634445746697,0.0622189548135361,0.17482827749297758,0.55,-0.1180756896504049,-0.030400059116792468,0.012162597605757644,0.038704276439746804,0.17529494095121398
V2,-0.010558136149576439,0.02676610536207283,-0.39445903922752845,0.4,-0.06970660396043597,-0.018639112260657217,-0.011776146745401924,0.018783990636494104,0.17523997572221267
V4,-0.011962030794172938,0.028915339237237363,-0.4136913822492644,0.35,-0.06447836407234553,-0.03748635429243145,-0.016381000981898482,0.02397496240032501,0.17252473324646056
E10,0.007761362327686576,0.038012163289995834,0.20418096772512703,0.5,-0.09474444417092362,0.04735442023745246,0.020232580654721253,0.034410237199665614,0.16881017486572925
P9,0.006200443650112973,0.03127082811996408,0.1982819784467003,0.55,-0.056379770813928684,0.04227989888919342,0.00771065963213204,0.02038706826711388,0.16767718996649786
D3,0.0077476320073609104,0.041805968061265096,0.18532354382445126,0.5,-0.06515522610089014,0.06418893620271865,0.003122394604866978,0.039559104404837224,0.16582276675718602
S11,0.0072763853779625656,0.032820812546361725,0.22170027480829155,0.5,-0.05532987627804151,0.028246309233843154,0.017385810996399072,0.032633371288869166,0.16575102202839445
V6,0.007290272982191684,0.026113144162476898,0.2791800996858276,0.45,-0.06748084703668022,0.02000477469859292,0.007588657594769981,0.022579804405355522,0.16361650387283505
E6,0.004579127589976577,0.043086301980792135,0.10627801219138808,0.55,-0.08019738054001962,-0.05142864393688937,-0.005907744147981354,0.0386344943840687,0.15987200263959603
I9,0.007189383244505921,0.04046150690783769,0.1776844714171674,0.5,-0.07354171919384878,0.03351588043159096,0.010016166452076633,0.03274933863697794,0.15934238970076864
E4,-0.01244767339817094,0.03185085531278657,-0.3908111530387152,0.3,-0.09935739515354258,-0.02471971941075065,-0.010111500704462765,0.020631116799435245,0.15882238878394647
I2,0.007788446711701448,0.03763015042722817,0.20697351866897537,0.45,-0.06300311544060906,-0.03601726848016559,-0.00037560143312057823,0.030494951576439187,0.15349472275644827
I8,0.0032622252738413724,0.03653911156624332,0.08928034211022687,0.55,-0.09213528452669933,0.016836133478623467,0.005495159352625255,0.029295270706212708,0.15047131850506276
P4,0.0034885634698078984,0.053954103157060535,0.06465797073992641,0.5,-0.08873001832160432,0.0442431817380404,0.012289277972568102,0.05286705110070211,0.14737573459423062
M10,-0.005606544395924441,0.03834264065188144,-0.1462221390698072,0.45,-0.07650123434764276,0.03695737366096616,-0.009322463778914882,0.036280280503523075,0.1451024008162316
I5,0.003960542317328254,0.041375481127580424,0.09572194092188557,0.5,-0.07511669985105074,0.0328775039530782,0.008021229232441751,0.03274738801109441,0.14304276376922778
M15,-0.00532956451059266,0.0346019874011752,-0.15402476477880003,0.4,-0.09330882898833703,-0.06758743093221817,-0.002256028491237735,0.028871354474624786,0.13844312073766546
E12,-0.0024015694492580423,0.03776899046094253,-0.06358572956521685,0.5,-0.0979048873282696,0.03013472396576764,-0.007159755041400386,0.030259840924186973,0.1376250434121219
E9,0.00017064392590472946,0.03869289400031303,0.0044102124230155715,0.55,-0.08902020841216046,-0.03559737124268633,-0.009055267688458388,0.028338195966603613,0.13467907883672925
P13,0.006819617315793215,0.04971052745171688,0.13718655370437324,0.4,-0.09137065135628752,-0.03420576441652395,0.0006183104451640693,0.02926276873150146,0.1317000598107564
E5,0.0016987811867917916,0.04038949105218404,0.042059969609352994,0.45,-0.07507343386531183,-0.07507343386531183,-0.013467859336702413,0.03599044088798815,0.12782285705012825
S4,-0.0034183931010936587,0.03779592262836432,-0.09044341185348322,0.4,-0.09575838395733427,-0.04822958670371301,-0.015057743910644667,0.038206888761310794,0.1277702349413257
I6,-0.0015884755353758426,0.035135931402368724,-0.045209420097358025,0.5,-0.08218993394063212,-0.010617660393612512,0.00030159164342420994,0.023594284629349354,0.1277603573046358
I4,0.0033567428151688667,0.04656731770463101,0.07208364706817923,0.4,-0.08465152741108067,-0.06418815543471441,-0.004223770748656293,0.04281382325057669,0.12642622699844605
V8,-0.012643287090647326,0.02676496206946928,-0.47238185258819987,0.05,-0.07264202937173148,-0.03140319022383187,-0.02335736824656109,0.028465468895702038,0.12626708003547712
S10,-0.006477750002720778,0.03217913086589222,-0.20130276410165965,0.3,-0.09610985022939604,-0.014610239879937592,-0.014284024689809114,0.030813037858545278,0.1236577769746834
E1,0.00444864744615467,0.046296181884801536,0.09609100154985112,0.4,-0.08700783267528596,-0.016923251499842095,0.006642360846640208,0.0314953361221415,0.12220944317633965
V1,-0.007660828984306113,0.028722418016883584,-0.2667194075585439,0.2,-0.06665840887082204,-0.030117763388257314,-0.018310748427929225,0.028808866677718342,0.11454504540870405
S1,0.004746338461070667,0.03512724238781336,0.13511840916761558,0.35,-0.03817222177329229,0.025012100555164743,0.0009123005834302738,0.026100878766299757,0.11378246557288871
M5,-0.0032130670944267746,0.028900446151818113,-0.11117703739858244,0.35,-0.05590834989107362,-0.042812052797318756,-0.008713083597669976,0.028572282140446825,0.11353636060473445
E14,-0.002033627697490256,0.034854093803390385,-0.05834686523463093,0.4,-0.05850349102205134,0.020445202113017657,0.008403774874858811,0.034849608419214056,0.11350408572811872
I3,0.003968314185321427,0.03767719069323407,0.10532401856579654,0.35,-0.05124722663587457,0.016403455206616784,0.006398064482836208,0.031412644110682626,0.1103949295416815
D1,0.028212979687145073,0.03407009794601202,0.8280860081761925,0.8,-0.03205172186242776,0.009519282281620599,0.026972861570417905,0.03339533480516241,0.1029397307915125
D2,0.028212979687145073,0.03407009794601202,0.8280860081761925,0.8,-0.03205172186242776,0.009519282281620599,0.026972861570417905,0.03339533480516241,0.1029397307915125
E15,-7.316656166968527e-05,0.043093867262309855,-0.001697841232162165,0.35,-0.07493712948469425,0.05075663770682742,0.004469941216361734,0.043746722875181374,0.10040763411565715
V12,-0.005422860545879978,0.028671990074755564,-0.18913436564387318,0.2,-0.07669476330960963,0.031655161775709054,-0.010829667995521491,0.027241415826516825,0.09955843196791325
M16,-0.006336411770346051,0.027539930775320853,-0.23008080598431238,0.15,-0.08378240307768597,-0.04008431155744354,-0.01477303721574224,0.02738934208614238,0.09935856949483238
E7,0.004042222274861863,0.02471812965223071,0.1635326255023027,0.15,-0.054694845928373925,-0.054694845928373925,0.00636735053941972,0.02221740944287759,0.08253245806328635
E18,0.01544760109999693,0.02900374135527205,0.5326070035140126,0.7,-0.03587799501025667,0.0022026831511064333,0.021155230258147178,0.029156814668431348,0.07859765831589341
M14,0.0026191588003121064,0.021324321302841415,0.12282489720852863,0.2,-0.035170300096773355,0.020366165520770398,0.007704834948400346,0.019936364785386528,0.07809317191761472
M2,0.01913228546279238,0.028348397964319726,0.6748980573044147,0.55,-0.02061694343047029,0.008656987618697426,0.021138124829424124,0.02583402063532816,0.0774721838459793
M6,-0.004158556358831653,0.021198307242424892,-0.1961738901854434,0.1,-0.041459135188867534,-0.03385189991213307,-0.00766632455161003,0.017867799909942104,0.07391300151116559
E11,0.01121819225136934,0.030414261126844595,0.368846328902086,0.6,-0.04785652967221535,0.005734650433212397,0.012654143041389761,0.022920818655013473,0.0624890133758896
M3,0.017935094438547624,0.06017034566320274,0.29807193660176173,0.55,-0.14357547614743932,0.0007355120138864222,0.03232252714014972,0.046729529679322146,0.06082118940246413
P6,-0.0276605620818782,0.06505138461302178,-0.4252109004953016,0.3,-0.1335466986422101,0.0049240639268533105,-0.020724597189604066,0.05979176819439796,0.054841789090117755
S3,0.014267203355792412,0.029923350601475836,0.4767914789319735,0.35,-0.00994232873479562,0.0012089354339724079,0.02000821118447114,0.022045519484182912,0.052587488999083394
I7,0.007173114696908084,0.031594201083707175,0.2270388925965994,0.55,-0.06767934393194919,0.003063336776233166,0.00883972830884535,0.024899429105882314,0.051732545469747315
I1,0.004140736379153504,0.029241654925190392,0.14160398834152715,0.5,-0.06384465493034752,-0.0017095676030813595,0.005556408235973599,0.020238102572964257,0.04289143828525021
E13,0.003272637818727028,0.02637766331043254,0.12406847943759614,0.5,-0.04527229905766781,0.004217252862649373,-0.0006183842718385057,0.022920535084561842,0.041679259534012705
S9,0.0033388209457229185,0.03083638872412099,0.1082753202017462,0.4,-0.09301740668354333,-0.00016250514093320984,0.0003448550613029852,0.019490906432266156,0.03563082533871101
V11,-0.008455018030599436,0.025257768908609673,-0.33474907121454595,0.1,-0.0933001077105189,-0.0022971761887190904,-0.015936876976015632,0.022106155671117247,0.031605601470383965
